,DATE,CIK,ELEMENTYPE,TEXT
0,1994-02-14,67887,TEXT,
1,1994-05-16,67887,TEXT,
2,1994-07-13,76267,TEXT,
3,1994-07-12,813945,TEXT,
4,1994-07-13,748015,TEXT,
5,1994-07-11,778977,TEXT,
6,1994-07-13,768608,TEXT,
7,1994-07-13,105076,TEXT,
8,1994-07-12,771950,TEXT,
9,1994-07-12,107687,TEXT,
0,1994-07-14,765878,TEXT,
1,1994-07-14,30927,TEXT,
2,1994-07-12,31348,TEXT,
3,1994-07-14,718482,TEXT,
4,1994-07-14,34616,TEXT,
5,1994-07-14,39368,BAD_URL,
6,1994-07-14,723371,TEXT,
7,1994-07-14,47129,TEXT,
8,1994-07-14,47129,TEXT,
9,1994-07-14,357294,TEXT,
0,1994-07-15,35590,TEXT,
1,1994-07-15,76321,TEXT,
2,1994-07-15,83679,TEXT,
3,1994-07-14,87565,TEXT,
4,1994-07-15,92521,BAD_URL,
5,1994-07-15,740693,TEXT,
6,1994-07-15,97476,TEXT,
7,1994-07-15,98559,TEXT,
8,1994-07-13,105076,TEXT,
9,1994-02-14,793074,TEXT,
0,1994-07-08,278130,TEXT,
1,1994-07-14,78716,TEXT,
2,1994-07-15,83679,TEXT,
3,1994-07-15,92521,BAD_URL,
4,1994-07-15,740693,TEXT,
5,1994-07-15,807707,BAD_URL,
6,1994-07-19,10427,TEXT,
7,1994-07-18,320431,BAD_URL,
8,1994-07-08,19704,TEXT,
9,1994-07-18,791269,TEXT,
0,1994-07-01,275605,TEXT,
1,1994-07-01,61425,TEXT,
2,1994-06-14,800042,BAD_URL,
3,1994-06-28,841289,TEXT,
4,1994-06-28,763043,TEXT,
5,1994-07-05,49146,BAD_URL,
6,1994-06-28,918040,TEXT,
7,1994-07-05,832922,TEXT,
8,1994-07-01,28385,TEXT,
9,1994-06-29,922360,BAD_URL,
0,1994-07-13,12707,TEXT,
1,1994-07-07,919628,TEXT,
2,1994-07-13,22444,TEXT,
3,1994-07-12,744106,TEXT,
4,1994-07-13,40888,TEXT,
5,1994-07-08,826490,TEXT,
6,1994-07-13,49146,TEXT,
7,1994-07-13,51410,TEXT,
8,1994-07-07,756764,TEXT,
9,1994-07-13,751190,TEXT,
0,1994-07-13,49146,TEXT,
1,1994-07-14,857067,TEXT,
2,1994-07-08,51207,TEXT,
3,1994-07-13,51410,TEXT,
4,1994-07-14,838224,TEXT,
5,1994-07-14,793937,TEXT,
6,1994-07-14,59479,TEXT,
7,1994-07-14,63754,TEXT,
8,1994-07-14,78716,TEXT,
9,1994-07-14,87565,TEXT,
0,1994-07-15,804742,BAD_URL,
1,1994-07-13,27425,TEXT,
2,1994-01-14,861439,TEXT,
3,1994-07-15,725349,TEXT,
4,1994-07-15,811119,TEXT,
5,1994-07-15,6955,TEXT,
6,1994-07-11,764478,TEXT,
7,1994-07-15,12180,TEXT,
