,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
9,682211000.0,,,,412592000.0,269619000.0,,,,,22444,,,,,,,,,,,2013-04-01,251475000.0,XBRL,950407000.0,47403000.0,,,1023724000.0,,,,,,,,950407000.0,204072000.0,,,,,,,,,,,,,COMMERCIAL METALS CO,,,,,,,,,,,,,,,,,,,47403000.0,47403000.0,,,,,,
0,23022.0,23022.0,,,,,,,,,13033,,,,,,,,,,,2013-04-01,,TEXT,0.0,23022.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Comjoyful International Co,,,,,,,,,,,,,,,,,,,,,,,,,,
1,324800000.0,324800000.0,,,,,,,,53000000.0,940944,,,,,,,,,,,2013-04-01,216900000.0,XBRL,2502400000.0,216900000.0,,,1535400000.0,,,,,,,,,0.0,0.0,2502400000.0,,,,,,,,,,,DARDEN RESTAURANTS INC,,,,,,460200000.0,,,,,,,,,,,,,,216900000.0,,,,,,
2,2614600.0,,,,,,,,,,1413754,,,,,,,,,,,2013-04-01,,HTML,27673077.0,2614600.0,,,21138583.0,27673077.0,,,,,,,,,,,,,,,,,,,,,GBS Enterprises Inc,,,,,,,,,,,,,,,,,,,,,,,,,,
3,71718.0,827.0,,,27052.0,43839.0,,,7741.0,,1527032,,,,,,,,,,,2013-04-01,23960.0,HTML,578586.0,23960.0,,,87110.0,779069.0,,,,,,,,23960.0,16219.0,578586.0,,,,,,,,,,,"New Enterprise Stone & Lime Co., Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
4,227367000.0,,,,,,,,,,1123360,,,,,,,,,,,2013-04-02,239484000.0,XBRL,883462000.0,239484000.0,,,673828000.0,,,167152000.0,,,,,,239484000.0,239484000.0,883462000.0,284055000.0,,,,,,,,,,GLOBAL PAYMENTS INC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,661700000.0,,,,340200000.0,,,,,,63754,,,,,,,,,,,2013-04-02,453800000.0,XBRL,776000000.0,201100000.0,,,1115500000.0,,,,,,,,,252700000.0,252700000.0,776000000.0,,,,,,,,,,,MCCORMICK & CO INC,,,,,321500000.0,,,,,,,,,,,,,,,201100000.0,,,,,,
6,1154564.0,769514.0,,,,385050.0,,,,,806175,,,,,,,,,,,2013-04-02,155947.0,XBRL,39403.0,120490.0,,,3372242.0,604294.0,,,,,,,,35457.0,35457.0,39403.0,,,,147957.0,,,,,,,"New Leaf Brands, Inc.",585391.0,585391.0,,,,245275.0,,,,236594.0,,,,,,,,,,120490.0,,,,,,
7,6542.0,6542.0,,,,,,,,,1415286,,,,,,,59000.0,,,,2013-04-02,13966.0,XBRL,59000.0,13966.0,,,20508.0,807.0,,,,,,,,13966.0,13966.0,59000.0,,,,59000.0,59000.0,,,,,,SARA CREEK GOLD CORP.,13966.0,13966.0,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,1392902,,,,,,,,,,,2013-04-02,,XBRL,,322430.0,,,322430.0,,,,,,,,,,,,,,,,,,,,,,TECTON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
